Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,463883,-,-,-,22.49,-105.82,0,0,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DNI,Clearsky GHI,Clearsky DHI,DNI,DHI,GHI,Relative Humidity
2004,1,1,0,30,23.3,0,0,0,0,0,0,81.76
2004,1,1,1,30,23,0,0,0,0,0,0,83.77
2004,1,1,2,30,22.8,0,0,0,0,0,0,84.68
2004,1,1,3,30,22.6,0,0,0,0,0,0,85.23
2004,1,1,4,30,22.5,0,0,0,0,0,0,84.78
2004,1,1,5,30,22.5,0,0,0,0,0,0,83.53
2004,1,1,6,30,22.5,0,0,0,0,0,0,82.53
2004,1,1,7,30,22.5,0,0,0,0,0,0,81.96000000000001
2004,1,1,8,30,22.5,0,0,0,0,0,0,81.69
2004,1,1,9,30,22.3,0,0,0,0,0,0,82.73
2004,1,1,10,30,22.200000000000003,0,0,0,0,0,0,83.13
2004,1,1,11,30,22.200000000000003,0,0,0,0,0,0,82.53
2004,1,1,12,30,22.1,0,0,0,0,0,0,82.12
2004,1,1,13,30,22.3,0,0,0,0,0,0,80.04
2004,1,1,14,30,22.900000000000002,349,105,51,1,32,32,77.59
2004,1,1,15,30,23.900000000000002,621,301,85,90,170,202,73.8
2004,1,1,16,30,24.900000000000002,751,483,100,64,219,252,67.87
2004,1,1,17,30,25.8,816,620,109,547,208,551,63.660000000000004
2004,1,1,18,30,26.400000000000002,856,697,107,491,240,579,60.03
2004,1,1,19,30,26.6,863,706,105,138,320,416,57.89
2004,1,1,20,30,26.6,849,647,99,58,279,316,57
2004,1,1,21,30,26.5,776,520,100,261,224,365,56.54
2004,1,1,22,30,25.8,670,347,86,0,107,107,59.9
2004,1,1,23,30,24.900000000000002,448,149,59,85,72,89,65.71000000000001
