Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,532727,-,-,-,22.85,-103.14,0,2306,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky GHI,Clearsky DNI,DNI,DHI,GHI,Relative Humidity
2008,1,1,0,30,14.9,0,0,0,0,0,0,20.990000000000002
2008,1,1,1,30,13.3,0,0,0,0,0,0,21.52
2008,1,1,2,30,11.700000000000001,0,0,0,0,0,0,25.63
2008,1,1,3,30,10.200000000000001,0,0,0,0,0,0,27.73
2008,1,1,4,30,8.4,0,0,0,0,0,0,31.09
2008,1,1,5,30,6.9,0,0,0,0,0,0,34.84
2008,1,1,6,30,6,0,0,0,0,0,0,39.46
2008,1,1,7,30,5.1000000000000005,0,0,0,0,0,0,41.74
2008,1,1,8,30,4.4,0,0,0,0,0,0,42.44
2008,1,1,9,30,3.9000000000000004,0,0,0,0,0,0,42.83
2008,1,1,10,30,3.5,0,0,0,0,0,0,43.85
2008,1,1,11,30,3.1,0,0,0,0,0,0,45.24
2008,1,1,12,30,2.7,0,0,0,0,0,0,47.44
2008,1,1,13,30,3.9000000000000004,0,0,0,0,0,0,48.07
2008,1,1,14,30,7,35,178,760,171,102,135,48.76
2008,1,1,15,30,10.4,53,400,923,923,53,400,51.24
2008,1,1,16,30,13.3,64,589,990,990,64,589,49.34
2008,1,1,17,30,15.5,69,726,1030,1030,69,726,42.54
2008,1,1,18,30,17.1,70,791,1043,1043,70,791,36.92
2008,1,1,19,30,18.1,68,782,1039,1039,68,782,34.28
2008,1,1,20,30,18.3,65,702,1017,1017,65,702,34.27
2008,1,1,21,30,17.5,59,559,974,974,59,559,37.18
2008,1,1,22,30,15.700000000000001,52,361,875,875,52,361,44.1
2008,1,1,23,30,13,36,140,645,645,36,140,56.47
2008,1,2,0,30,10.4,0,0,0,0,0,0,70.85000000000001
2008,1,2,1,30,8.3,0,0,0,0,0,0,82.99
2008,1,2,2,30,6.5,0,0,0,0,0,0,91.99
2008,1,2,3,30,5.1000000000000005,0,0,0,0,0,0,95
2008,1,2,4,30,3.9000000000000004,0,0,0,0,0,0,94.36
2008,1,2,5,30,2.9000000000000004,0,0,0,0,0,0,92.63
2008,1,2,6,30,2.1,0,0,0,0,0,0,90.92
2008,1,2,7,30,1.4000000000000001,0,0,0,0,0,0,89.23
2008,1,2,8,30,0.7000000000000001,0,0,0,0,0,0,88.2
2008,1,2,9,30,0,0,0,0,0,0,0,88.43
2008,1,2,10,30,-0.7000000000000001,0,0,0,0,0,0,89.52
2008,1,2,11,30,-1.4000000000000001,0,0,0,0,0,0,91.02
2008,1,2,12,30,-1.9000000000000001,0,0,0,0,0,0,91.28
2008,1,2,13,30,-1.5,0,0,0,0,0,0,86.12
2008,1,2,14,30,0.7000000000000001,37,173,726,0,47,47,73.22
2008,1,2,15,30,4.1000000000000005,51,397,921,2,153,154,60.44
2008,1,2,16,30,7.300000000000001,57,589,1003,52,310,338,50.95
2008,1,2,17,30,10,61,726,1042,1042,61,726,44.18
2008,1,2,18,30,12,63,795,1058,1058,63,795,39.49
2008,1,2,19,30,13,64,791,1056,1056,64,791,36.72
2008,1,2,20,30,13.200000000000001,63,714,1036,1036,63,714,35.26
2008,1,2,21,30,12.5,57,570,996,996,57,570,35.71
2008,1,2,22,30,10.700000000000001,50,373,906,906,50,373,39.46
2008,1,2,23,30,7.7,35,147,689,689,35,147,48.32
2008,1,3,0,30,5,0,0,0,0,0,0,59.97
2008,1,3,1,30,3.4000000000000004,0,0,0,0,0,0,67.01
2008,1,3,2,30,1.9000000000000001,0,0,0,0,0,0,74.12
2008,1,3,3,30,0.5,0,0,0,0,0,0,80.94
2008,1,3,4,30,-0.7000000000000001,0,0,0,0,0,0,86.15
2008,1,3,5,30,-1.6,0,0,0,0,0,0,88.71000000000001
2008,1,3,6,30,-2.2,0,0,0,0,0,0,89.54
2008,1,3,7,30,-2.7,0,0,0,0,0,0,90.52
2008,1,3,8,30,-3.1,0,0,0,0,0,0,91.36
2008,1,3,9,30,-3.4000000000000004,0,0,0,0,0,0,92.26
2008,1,3,10,30,-3.6,0,0,0,0,0,0,92.67
2008,1,3,11,30,-3.7,0,0,0,0,0,0,92.68
2008,1,3,12,30,-3.7,0,0,0,0,0,0,92.65
2008,1,3,13,30,-2.5,0,0,0,0,0,0,85.17
2008,1,3,14,30,0.8,35,173,742,742,35,173,69.01
2008,1,3,15,30,5.4,47,396,928,928,47,396,52.7
2008,1,3,16,30,10,54,592,1014,1014,54,592,41.910000000000004
2008,1,3,17,30,14,57,730,1053,1053,57,730,34.13
2008,1,3,18,30,16.900000000000002,59,800,1069,1069,59,800,28.88
2008,1,3,19,30,18.5,59,796,1068,1068,59,796,24.38
2008,1,3,20,30,18.900000000000002,57,719,1051,1051,57,719,22.12
2008,1,3,21,30,18.400000000000002,52,575,1011,1011,52,575,21.72
2008,1,3,22,30,16.3,45,377,928,928,45,377,24.5
2008,1,3,23,30,12,32,150,716,716,32,150,43.33
2008,1,4,0,30,8.6,0,0,0,0,0,0,53.28
2008,1,4,1,30,6.9,0,0,0,0,0,0,58.7
2008,1,4,2,30,5.2,0,0,0,0,0,0,66.03
2008,1,4,3,30,3.5,0,0,0,0,0,0,74.4
2008,1,4,4,30,2.1,0,0,0,0,0,0,81.7
2008,1,4,5,30,1.1,0,0,0,0,0,0,86.7
2008,1,4,6,30,0.4,0,0,0,0,0,0,90.2
2008,1,4,7,30,0.1,0,0,0,0,0,0,91.92
2008,1,4,8,30,0.2,0,0,0,0,0,0,90.96000000000001
2008,1,4,9,30,0.4,0,0,0,0,0,0,89.34
2008,1,4,10,30,0.6000000000000001,0,0,0,0,0,0,87.54
2008,1,4,11,30,0.8,0,0,0,0,0,0,85.59
2008,1,4,12,30,1.1,0,0,0,0,0,0,83.01
2008,1,4,13,30,3.1,0,0,0,0,0,0,71.51
2008,1,4,14,30,7.1000000000000005,34,175,764,125,105,128,57.6
2008,1,4,15,30,12.100000000000001,47,402,946,946,47,402,40.7
2008,1,4,16,30,16.7,54,596,1023,1023,54,596,26.89
2008,1,4,17,30,19.3,58,736,1060,1060,58,736,17.5
2008,1,4,18,30,20.5,59,806,1077,1077,59,806,15.6
2008,1,4,19,30,21,59,803,1077,1077,59,803,14.81
2008,1,4,20,30,21.1,56,726,1060,1060,56,726,14.41
2008,1,4,21,30,20.5,52,578,1013,1013,52,578,14.74
2008,1,4,22,30,18.6,45,381,930,930,45,381,16.75
2008,1,4,23,30,15.200000000000001,32,154,728,728,32,154,36.25
2008,1,5,0,30,12.4,0,0,0,0,0,0,36.06
2008,1,5,1,30,11,0,0,0,0,0,0,37.81
2008,1,5,2,30,10,0,0,0,0,0,0,38.87
2008,1,5,3,30,9.1,0,0,0,0,0,0,39.92
2008,1,5,4,30,8.200000000000001,0,0,0,0,0,0,41.69
2008,1,5,5,30,7.6000000000000005,0,0,0,0,0,0,42.550000000000004
2008,1,5,6,30,7,0,0,0,0,0,0,43.38
2008,1,5,7,30,6.4,0,0,0,0,0,0,44.910000000000004
2008,1,5,8,30,6,0,0,0,0,0,0,46.42
2008,1,5,9,30,5.7,0,0,0,0,0,0,47.730000000000004
2008,1,5,10,30,5.6000000000000005,0,0,0,0,0,0,48.660000000000004
2008,1,5,11,30,5.6000000000000005,0,0,0,0,0,0,49.58
2008,1,5,12,30,5.7,0,0,0,0,0,0,50.28
2008,1,5,13,30,7.1000000000000005,0,0,0,0,0,0,47.09
2008,1,5,14,30,10.3,35,171,739,66,108,120,48.4
2008,1,5,15,30,14.600000000000001,49,399,933,210,221,299,32.65
2008,1,5,16,30,18.1,56,593,1011,1011,56,593,23.97
2008,1,5,17,30,19.700000000000003,62,732,1048,1048,62,732,19.37
2008,1,5,18,30,20.6,65,804,1063,1063,65,804,17.44
2008,1,5,19,30,21.1,65,801,1063,1063,65,801,16.38
2008,1,5,20,30,21.1,62,725,1046,1046,62,725,16.07
2008,1,5,21,30,20.5,59,581,1003,1003,59,581,16.47
2008,1,5,22,30,18.3,50,384,917,917,50,384,19.19
2008,1,5,23,30,14.3,35,156,711,711,35,156,39.06
2008,1,6,0,30,11.4,0,0,0,0,0,0,43.93
2008,1,6,1,30,10.100000000000001,0,0,0,0,0,0,45.75
2008,1,6,2,30,9,0,0,0,0,0,0,48.230000000000004
2008,1,6,3,30,8,0,0,0,0,0,0,50.79
2008,1,6,4,30,7.300000000000001,0,0,0,0,0,0,52.76
2008,1,6,5,30,6.800000000000001,0,0,0,0,0,0,54.27
2008,1,6,6,30,6.5,0,0,0,0,0,0,55.19
2008,1,6,7,30,6.2,0,0,0,0,0,0,56.15
2008,1,6,8,30,5.7,0,0,0,0,0,0,58.01
2008,1,6,9,30,5.1000000000000005,0,0,0,0,0,0,60.61
2008,1,6,10,30,4.6000000000000005,0,0,0,0,0,0,63.08
2008,1,6,11,30,4.1000000000000005,0,0,0,0,0,0,65.91
2008,1,6,12,30,3.9000000000000004,0,0,0,0,0,0,67.85
2008,1,6,13,30,5.800000000000001,0,0,0,0,0,0,60.78
2008,1,6,14,30,10,38,169,711,711,38,169,51.26
2008,1,6,15,30,14.4,54,394,906,906,54,394,37.72
2008,1,6,16,30,17.400000000000002,63,589,990,990,63,589,29.990000000000002
2008,1,6,17,30,19,69,733,1037,1037,69,733,26.38
