Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,611273,-,-,-,35.45,-100.18,0,746,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,Relative Humidity,Clearsky DNI
2004,1,1,0,30,5.7,0,0,52.800000000000004,0
2004,1,1,1,30,5.800000000000001,0,0,56.52,0
2004,1,1,2,30,5.800000000000001,0,0,66.34,0
2004,1,1,3,30,5.5,0,0,80.46000000000001,0
2004,1,1,4,30,5.1000000000000005,0,0,91,0
2004,1,1,5,30,4.7,0,0,96.13,0
2004,1,1,6,30,4.800000000000001,0,0,94.62,0
2004,1,1,7,30,5,0,0,91.28,0
2004,1,1,8,30,5.2,0,0,88.35000000000001,0
2004,1,1,9,30,5.4,0,0,87.32000000000001,0
2004,1,1,10,30,5.6000000000000005,0,0,88.41,0
2004,1,1,11,30,5.5,0,0,92.21000000000001,0
2004,1,1,12,30,5.4,0,0,94.98,0
2004,1,1,13,30,5.7,0,0,93.52,0
2004,1,1,14,30,6.7,3,41,86.19,405
2004,1,1,15,30,8.200000000000001,422,121,74.68,699
2004,1,1,16,30,10.100000000000001,327,177,60.910000000000004,829
2004,1,1,17,30,12.5,50,231,47.25,895
2004,1,1,18,30,15.600000000000001,464,195,34.44,927
2004,1,1,19,30,18.3,592,162,26.82,939
2004,1,1,20,30,19.200000000000003,602,129,25.94,909
2004,1,1,21,30,18,837,51,30.51,837
2004,1,1,22,30,14.5,676,38,42.96,676
2004,1,1,23,30,11.700000000000001,223,11,51.39,223
2004,1,2,0,30,11,0,0,52.54,0
2004,1,2,1,30,10.600000000000001,0,0,53.2,0
2004,1,2,2,30,10.3,0,0,53.26,0
2004,1,2,3,30,9.700000000000001,0,0,54.03,0
2004,1,2,4,30,9,0,0,55.25,0
2004,1,2,5,30,8.3,0,0,56.58,0
2004,1,2,6,30,7.6000000000000005,0,0,58.25,0
2004,1,2,7,30,7,0,0,59.81,0
2004,1,2,8,30,6.6000000000000005,0,0,61.2,0
2004,1,2,9,30,6.300000000000001,0,0,63.5,0
2004,1,2,10,30,6.2,0,0,66.08,0
2004,1,2,11,30,6,0,0,69.23,0
2004,1,2,12,30,6,0,0,71.02,0
2004,1,2,13,30,6.7,0,0,69.48,0
2004,1,2,14,30,8.1,17,53,64.64,564
2004,1,2,15,30,10,587,91,57.620000000000005,807
2004,1,2,16,30,12.700000000000001,500,147,48.42,900
2004,1,2,17,30,16,477,188,38,949
2004,1,2,18,30,18.8,529,175,29.23,966
2004,1,2,19,30,20.5,534,184,24.13,961
2004,1,2,20,30,21.200000000000003,508,164,21.900000000000002,928
2004,1,2,21,30,20.1,862,40,23.740000000000002,862
2004,1,2,22,30,16.5,490,70,33.480000000000004,709
2004,1,2,23,30,13.600000000000001,0,6,40.31,267
2004,1,3,0,30,12.9,0,0,41.26,0
2004,1,3,1,30,12.600000000000001,0,0,42.14,0
2004,1,3,2,30,12,0,0,44.09,0
2004,1,3,3,30,11.3,0,0,46.2,0
2004,1,3,4,30,10.700000000000001,0,0,47.85,0
2004,1,3,5,30,10.100000000000001,0,0,49.620000000000005,0
2004,1,3,6,30,9.200000000000001,0,0,52.4,0
2004,1,3,7,30,8.3,0,0,55.02,0
2004,1,3,8,30,7.7,0,0,56.5,0
2004,1,3,9,30,7,0,0,58.83,0
2004,1,3,10,30,6,0,0,63.120000000000005,0
2004,1,3,11,30,4.9,0,0,68.67,0
2004,1,3,12,30,4,0,0,73.78,0
2004,1,3,13,30,4,0,0,73.24,0
2004,1,3,14,30,4.9,551,26,65.79,551
2004,1,3,15,30,6.2,801,42,54.53,801
2004,1,3,16,30,7.7,907,50,46.06,907
2004,1,3,17,30,9.4,952,55,39.68,952
2004,1,3,18,30,10.9,971,56,35.61,971
2004,1,3,19,30,12.100000000000001,963,57,33.21,963
2004,1,3,20,30,12.8,930,56,32.53,930
2004,1,3,21,30,12.600000000000001,854,50,34.08,854
2004,1,3,22,30,10.100000000000001,697,38,41.84,697
2004,1,3,23,30,7.4,243,12,49.78,243
2004,1,4,0,30,5.800000000000001,0,0,50.35,0
2004,1,4,1,30,4.3,0,0,53.06,0
2004,1,4,2,30,2.9000000000000004,0,0,55.870000000000005,0
2004,1,4,3,30,1.8,0,0,57.480000000000004,0
2004,1,4,4,30,0.7000000000000001,0,0,59.25,0
2004,1,4,5,30,-0.2,0,0,60.82,0
2004,1,4,6,30,-1.2000000000000002,0,0,63.51,0
2004,1,4,7,30,-2,0,0,65.66,0
2004,1,4,8,30,-2.7,0,0,67.64,0
2004,1,4,9,30,-3.3000000000000003,0,0,69.82000000000001,0
2004,1,4,10,30,-3.8000000000000003,0,0,71.86,0
2004,1,4,11,30,-4.1000000000000005,0,0,72.95,0
2004,1,4,12,30,-4.5,0,0,74.51,0
2004,1,4,13,30,-4.6000000000000005,0,0,74.06,0
2004,1,4,14,30,-3.8000000000000003,530,30,67.94,530
2004,1,4,15,30,-2.2,795,52,58.84,795
2004,1,4,16,30,-0.5,901,63,52.24,901
2004,1,4,17,30,1,954,68,47.25,954
2004,1,4,18,30,2.3000000000000003,987,68,42.57,987
2004,1,4,19,30,3,973,67,39.47,973
2004,1,4,20,30,3.1,939,64,38.25,939
2004,1,4,21,30,2.3000000000000003,866,57,39.58,866
2004,1,4,22,30,1,313,95,42.5,702
2004,1,4,23,30,-0.30000000000000004,0,9,45.93,245
2004,1,5,0,30,-1.3,0,0,48.76,0
2004,1,5,1,30,-2.1,0,0,50.99,0
2004,1,5,2,30,-3.2,0,0,54.54,0
2004,1,5,3,30,-4.3,0,0,58.63,0
2004,1,5,4,30,-5.4,0,0,63.28,0
2004,1,5,5,30,-6.2,0,0,66.8,0
2004,1,5,6,30,-6.7,0,0,68.94,0
2004,1,5,7,30,-7,0,0,70.07000000000001,0
2004,1,5,8,30,-7.2,0,0,70.60000000000001,0
2004,1,5,9,30,-7.4,0,0,71.14,0
2004,1,5,10,30,-7.7,0,0,71.58,0
2004,1,5,11,30,-7.800000000000001,0,0,70.94,0
2004,1,5,12,30,-8,0,0,70.99,0
2004,1,5,13,30,-7.800000000000001,0,0,68.78,0
2004,1,5,14,30,-6.800000000000001,538,31,62.6,538
2004,1,5,15,30,-5.300000000000001,802,52,55.19,802
2004,1,5,16,30,-3.7,912,62,48.86,912
2004,1,5,17,30,-2.2,964,67,43.95,964
2004,1,5,18,30,-1.2000000000000002,987,67,41.24,987
2004,1,5,19,30,-0.5,983,65,39.53,983
2004,1,5,20,30,-0.1,956,60,38.64,956
2004,1,5,21,30,-0.7000000000000001,886,54,40.4,886
2004,1,5,22,30,-2.5,730,42,46.03,730
2004,1,5,23,30,-4.2,284,14,52.08,284
2004,1,6,0,30,-5.300000000000001,0,0,53.97,0
2004,1,6,1,30,-6.300000000000001,0,0,54.03,0
2004,1,6,2,30,-7.2,0,0,54.08,0
2004,1,6,3,30,-8.200000000000001,0,0,54.54,0
2004,1,6,4,30,-9.200000000000001,0,0,55.11,0
2004,1,6,5,30,-10,0,0,54.980000000000004,0
2004,1,6,6,30,-10.4,0,0,53.660000000000004,0
2004,1,6,7,30,-10.600000000000001,0,0,52.22,0
2004,1,6,8,30,-10.700000000000001,0,0,51.21,0
2004,1,6,9,30,-10.600000000000001,0,0,50.04,0
2004,1,6,10,30,-10.4,0,0,48.88,0
2004,1,6,11,30,-10.200000000000001,0,0,47.870000000000005,0
2004,1,6,12,30,-10,0,0,47.01,0
2004,1,6,13,30,-9.4,0,0,44.82,0
2004,1,6,14,30,-8.3,563,28,41.36,563
2004,1,6,15,30,-6.9,811,48,37.84,811
2004,1,6,16,30,-5.5,633,117,34.84,905
2004,1,6,17,30,-4.1000000000000005,333,260,32.28,958
2004,1,6,18,30,-2.9000000000000004,975,64,30.63,975
2004,1,6,19,30,-2.1,969,64,30.01,969
2004,1,6,20,30,-1.9000000000000001,937,62,30.7,937
2004,1,6,21,30,-2.3000000000000003,867,55,32.51,867
2004,1,6,22,30,-3.3000000000000003,412,85,35.47,706
2004,1,6,23,30,-4.3,270,14,39.58,270
2004,1,7,0,30,-4.800000000000001,0,0,40.24,0
2004,1,7,1,30,-5.1000000000000005,0,0,40.28,0
2004,1,7,2,30,-5.300000000000001,0,0,40.75,0
2004,1,7,3,30,-5.300000000000001,0,0,40.88,0
2004,1,7,4,30,-5.300000000000001,0,0,41.14,0
2004,1,7,5,30,-5.300000000000001,0,0,41.4,0
2004,1,7,6,30,-5.4,0,0,41.910000000000004,0
2004,1,7,7,30,-5.5,0,0,42.47,0
2004,1,7,8,30,-5.7,0,0,43.38,0
2004,1,7,9,30,-5.9,0,0,44.660000000000004,0
2004,1,7,10,30,-6.1000000000000005,0,0,46.34,0
2004,1,7,11,30,-6,0,0,47.160000000000004,0
2004,1,7,12,30,-5.7,0,0,47.37,0
2004,1,7,13,30,-5.300000000000001,0,0,47.25,0
2004,1,7,14,30,-4.1000000000000005,458,32,44.32,458
2004,1,7,15,30,-2.2,5,121,40.38,728
2004,1,7,16,30,0.2,204,227,36.92,845
2004,1,7,17,30,2.7,906,72,34.77,906
2004,1,7,18,30,5.1000000000000005,447,215,33.79,932
2004,1,7,19,30,7.2,327,253,33.7,938
2004,1,7,20,30,8.5,148,245,34.54,912
2004,1,7,21,30,8.200000000000001,90,190,38.28,850
2004,1,7,22,30,5.7,192,108,47.85,697
2004,1,7,23,30,3.4000000000000004,1,13,57.44,262
2004,1,8,0,30,2.7,0,0,61.63,0
2004,1,8,1,30,2.2,0,0,66.05,0
2004,1,8,2,30,1.7000000000000002,0,0,71.09,0
2004,1,8,3,30,1.3,0,0,76.12,0
2004,1,8,4,30,1,0,0,81.02,0
2004,1,8,5,30,0.7000000000000001,0,0,85.5,0
2004,1,8,6,30,0.6000000000000001,0,0,88.22,0
2004,1,8,7,30,0.5,0,0,89.8,0
2004,1,8,8,30,0.30000000000000004,0,0,90.89,0
2004,1,8,9,30,0.4,0,0,88.75,0
2004,1,8,10,30,0.5,0,0,84.55,0
2004,1,8,11,30,0.6000000000000001,0,0,79.10000000000001,0
2004,1,8,12,30,0.5,0,0,74.32000000000001,0
2004,1,8,13,30,0.6000000000000001,0,0,69.42,0
2004,1,8,14,30,1.5,12,51,63.050000000000004,549
2004,1,8,15,30,3.4000000000000004,341,120,53.410000000000004,798
2004,1,8,16,30,6.1000000000000005,143,243,42.37,895
2004,1,8,17,30,9.4,532,173,31.29,944
2004,1,8,18,30,12.100000000000001,615,183,27.04,973
2004,1,8,19,30,13.600000000000001,971,62,28.27,971
2004,1,8,20,30,13.700000000000001,950,58,30.32,950
2004,1,8,21,30,11.4,887,50,35.300000000000004,887
2004,1,8,22,30,6.9,748,38,49.4,748
2004,1,8,23,30,3.5,347,14,58.620000000000005,347
2004,1,9,0,30,2.2,0,0,61.730000000000004,0
2004,1,9,1,30,1.4000000000000001,0,0,64.31,0
2004,1,9,2,30,0.7000000000000001,0,0,67.17,0
2004,1,9,3,30,0,0,0,70.9,0
2004,1,9,4,30,-0.5,0,0,74.56,0
2004,1,9,5,30,-1,0,0,79.44,0
2004,1,9,6,30,-1.7000000000000002,0,0,86.84,0
2004,1,9,7,30,-2.3000000000000003,0,0,94.14,0
2004,1,9,8,30,-2.8000000000000003,0,0,99.72,0
2004,1,9,9,30,-3.1,0,0,100,0
2004,1,9,10,30,-3.3000000000000003,0,0,100,0
2004,1,9,11,30,-3.3000000000000003,0,0,100,0
2004,1,9,12,30,-3.3000000000000003,0,0,100,0
2004,1,9,13,30,-2,0,0,93,0
2004,1,9,14,30,0.8,540,28,76.84,540
2004,1,9,15,30,4,791,47,62.09,791
2004,1,9,16,30,7.6000000000000005,896,56,49.43,896
2004,1,9,17,30,10.5,945,61,41.28,945
2004,1,9,18,30,12.200000000000001,968,60,36.39,968
2004,1,9,19,30,13.200000000000001,963,60,33.39,963
2004,1,9,20,30,13.5,935,57,32.22,935
2004,1,9,21,30,12.9,868,49,33.230000000000004,868
2004,1,9,22,30,10.3,731,38,45.12,731
2004,1,9,23,30,7.1000000000000005,337,14,49.83,337
2004,1,10,0,30,4.9,0,0,56.1,0
2004,1,10,1,30,3.5,0,0,62.160000000000004,0
2004,1,10,2,30,2.3000000000000003,0,0,67.97,0
2004,1,10,3,30,1.4000000000000001,0,0,72.60000000000001,0
2004,1,10,4,30,0.8,0,0,75.57000000000001,0
2004,1,10,5,30,0.30000000000000004,0,0,77.95,0
2004,1,10,6,30,-0.2,0,0,80.44,0
2004,1,10,7,30,-0.8,0,0,83.59,0
2004,1,10,8,30,-1.3,0,0,86.34,0
2004,1,10,9,30,-1.6,0,0,88.05,0
2004,1,10,10,30,-1.8,0,0,89.23,0
2004,1,10,11,30,-1.9000000000000001,0,0,89.71000000000001,0
2004,1,10,12,30,-2.1,0,0,90.78,0
2004,1,10,13,30,-1.2000000000000002,0,0,84.61,0
2004,1,10,14,30,1.2000000000000002,558,28,70.91,558
2004,1,10,15,30,4.2,809,45,57.58,809
2004,1,10,16,30,7.1000000000000005,911,54,47.44,911
2004,1,10,17,30,9.8,961,58,39.65,961
2004,1,10,18,30,12,984,56,33.78,984
2004,1,10,19,30,13.600000000000001,979,57,29.94,979
2004,1,10,20,30,14.600000000000001,950,55,27.53,950
2004,1,10,21,30,13.8,884,50,28.79,884
2004,1,10,22,30,10.4,744,39,39.87,744
2004,1,10,23,30,7.300000000000001,358,15,47.92,358
2004,1,11,0,30,6.6000000000000005,0,0,49,0
2004,1,11,1,30,6.2,0,0,50.71,0
2004,1,11,2,30,5.7,0,0,52.51,0
2004,1,11,3,30,5,0,0,54.54,0
2004,1,11,4,30,4.3,0,0,56.050000000000004,0
2004,1,11,5,30,3.7,0,0,56.92,0
2004,1,11,6,30,3.3000000000000003,0,0,56.800000000000004,0
2004,1,11,7,30,2.9000000000000004,0,0,56.76,0
2004,1,11,8,30,2.6,0,0,56.42,0
2004,1,11,9,30,2.4000000000000004,0,0,55.79,0
2004,1,11,10,30,2.2,0,0,55.47,0
2004,1,11,11,30,2,0,0,55.67,0
2004,1,11,12,30,1.8,0,0,56.410000000000004,0
2004,1,11,13,30,2.4000000000000004,0,0,54.39,0
2004,1,11,14,30,4.5,19,57,47.69,548
2004,1,11,15,30,7.7,132,151,39.34,806
2004,1,11,16,30,11.600000000000001,508,150,31.92,911
2004,1,11,17,30,15.3,960,63,25.53,960
2004,1,11,18,30,17.8,972,66,21.07,972
2004,1,11,19,30,19.200000000000003,965,66,18.69,965
2004,1,11,20,30,19.5,932,64,18.240000000000002,932
2004,1,11,21,30,17.900000000000002,851,59,20.73,851
2004,1,11,22,30,14,26,121,31.330000000000002,698
2004,1,11,23,30,10.8,2,19,39.25,284
2004,1,12,0,30,9.700000000000001,0,0,42.11,0
2004,1,12,1,30,9,0,0,45.31,0
2004,1,12,2,30,8.1,0,0,49.56,0
2004,1,12,3,30,6.9,0,0,55.15,0
2004,1,12,4,30,5.7,0,0,60.660000000000004,0
2004,1,12,5,30,4.7,0,0,65.05,0
2004,1,12,6,30,3.9000000000000004,0,0,68.26,0
2004,1,12,7,30,3.5,0,0,69.11,0
2004,1,12,8,30,3.6,0,0,67.43,0
2004,1,12,9,30,3.6,0,0,66.63,0
2004,1,12,10,30,3.3000000000000003,0,0,68.01,0
2004,1,12,11,30,2.4000000000000004,0,0,73.98,0
2004,1,12,12,30,1.3,0,0,82.7,0
2004,1,12,13,30,1.2000000000000002,0,0,86.04,0
2004,1,12,14,30,2.8000000000000003,6,47,78.60000000000001,458
2004,1,12,15,30,5.5,1,85,65.66,718
2004,1,12,16,30,8.4,307,193,53.08,829
2004,1,12,17,30,10.700000000000001,99,300,44.910000000000004,875
2004,1,12,18,30,12.100000000000001,220,260,40.730000000000004,898
2004,1,12,19,30,12.700000000000001,36,238,39.34,883
2004,1,12,20,30,12.200000000000001,19,184,41.29,841
2004,1,12,21,30,11.100000000000001,23,163,52.06,759
2004,1,12,22,30,9.8,8,74,58.57,587
2004,1,12,23,30,9,0,13,60.34,180
2004,1,13,0,30,8.4,0,0,63.49,0
2004,1,13,1,30,7.800000000000001,0,0,67.96000000000001,0
2004,1,13,2,30,7.300000000000001,0,0,73.04,0
2004,1,13,3,30,6.9,0,0,77.35000000000001,0
2004,1,13,4,30,6.7,0,0,79.61,0
2004,1,13,5,30,6.6000000000000005,0,0,80.60000000000001,0
2004,1,13,6,30,5.9,0,0,85.28,0
2004,1,13,7,30,4.800000000000001,0,0,92.04,0
2004,1,13,8,30,3.9000000000000004,0,0,96.4,0
2004,1,13,9,30,3.4000000000000004,0,0,97.61,0
2004,1,13,10,30,3,0,0,98.28,0
2004,1,13,11,30,2.6,0,0,98.28,0
2004,1,13,12,30,2.2,0,0,97.48,0
2004,1,13,13,30,2.7,0,0,90.31,0
2004,1,13,14,30,4.4,0,37,78.5,414
2004,1,13,15,30,7.300000000000001,92,159,64.97,691
2004,1,13,16,30,10.600000000000001,22,211,54.28,810
2004,1,13,17,30,12.9,867,81,49.28,867
2004,1,13,18,30,14,911,75,47.35,911
2004,1,13,19,30,14.600000000000001,912,74,46.62,912
2004,1,13,20,30,14.8,881,70,46.78,881
2004,1,13,21,30,14.4,824,60,48.29,824
2004,1,13,22,30,13,684,46,56.24,684
2004,1,13,23,30,11,303,18,62.050000000000004,303
2004,1,14,0,30,9.3,0,0,68.37,0
2004,1,14,1,30,7.6000000000000005,0,0,79.05,0
2004,1,14,2,30,6.300000000000001,0,0,90.16,0
2004,1,14,3,30,5.4,0,0,100,0
2004,1,14,4,30,4.9,0,0,100,0
2004,1,14,5,30,4.4,0,0,100,0
2004,1,14,6,30,4.2,0,0,100,0
2004,1,14,7,30,4.4,0,0,100,0
2004,1,14,8,30,4.5,0,0,100,0
2004,1,14,9,30,4.3,0,0,100,0
2004,1,14,10,30,3.8000000000000003,0,0,100,0
2004,1,14,11,30,3.2,0,0,100,0
2004,1,14,12,30,2.6,0,0,99.95,0
2004,1,14,13,30,2.9000000000000004,0,0,88.98,0
2004,1,14,14,30,4.7,1,48,69.85000000000001,546
2004,1,14,15,30,7.7,123,162,51.45,804
2004,1,14,16,30,11,909,57,38.300000000000004,909
2004,1,14,17,30,13.600000000000001,959,62,29.91,959
2004,1,14,18,30,15.100000000000001,986,63,26.78,986
2004,1,14,19,30,15.700000000000001,982,63,25.85,982
2004,1,14,20,30,15.5,954,60,26.330000000000002,954
2004,1,14,21,30,14.4,893,53,28.7,893
2004,1,14,22,30,11.4,15,122,39.79,751
2004,1,14,23,30,8.5,4,25,50.77,382
2004,1,15,0,30,7.5,0,0,52.33,0
2004,1,15,1,30,7.4,0,0,52.82,0
2004,1,15,2,30,7.2,0,0,54.36,0
2004,1,15,3,30,6.9,0,0,55.82,0
2004,1,15,4,30,6.4,0,0,57.77,0
2004,1,15,5,30,6.1000000000000005,0,0,59.08,0
2004,1,15,6,30,5.800000000000001,0,0,60.620000000000005,0
2004,1,15,7,30,5.5,0,0,62,0
2004,1,15,8,30,5,0,0,64.09,0
2004,1,15,9,30,4.4,0,0,66.83,0
2004,1,15,10,30,3.9000000000000004,0,0,69.24,0
2004,1,15,11,30,3.5,0,0,71.32000000000001,0
2004,1,15,12,30,3.2,0,0,73.01,0
2004,1,15,13,30,3.7,0,0,70.31,0
2004,1,15,14,30,5.2,6,47,63.57,530
2004,1,15,15,30,7.1000000000000005,51,143,56.11,778
2004,1,15,16,30,9.600000000000001,3,105,48.85,875
